id,name,lat,lon,off_or_on_street,capacity
902,California and Steiner Lot,37.7889185029,-122.4348029307,OFF,11
930,16th and Hoff Garage,37.76425207,-122.4207729,OFF,70
931,Civic Center Garage,37.7802465669,-122.4177671135,OFF,843
932,Ellis OFarrell Garage,37.7863925455,-122.4071540583,OFF,950
933,Fifth and Mission Garage,37.7832776731,-122.405537559,OFF,2586
934,Golden Gateway Garage,37.79544154,-122.3986032,OFF,1142
935,Japan Center Garage,37.7849220106,-122.4301614271,OFF,745
936,Japan Center Annex Garage,37.7849547433,-122.4328661663,OFF,175
938,Lombard Street Garage,37.7996475876,-122.4348921128,OFF,205
939,Mission Bartlett Garage,37.7568400419,-122.4204335636,OFF,230
941,Moscone Center Garage,37.78452379,-122.3994795,OFF,752
943,Performing Arts Garage,37.77810302,-122.4225312,OFF,600
948,St. Marys Square Garage,37.79199927,-122.4045476,OFF,392
949,Sutter Stockton Garage,37.7897829226,-122.4068556189,OFF,1650
950,Union Square Garage,37.7876789151,-122.407447946,OFF,800
201001,1st St (1-99),undefined,undefined,ON,22
201002,1st St (2-98),undefined,undefined,ON,17
201021,1st St (201-299),undefined,undefined,ON,14
201022,1st St (200-298),undefined,undefined,ON,8
201031,1st St (301-399),undefined,undefined,ON,8
201032,1st St (300-360),undefined,undefined,ON,5
202001,2nd St (1-99),undefined,undefined,ON,null
202002,2nd St (36-98),undefined,undefined,ON,3
202021,2nd St (201-299),undefined,undefined,ON,6
202022,2nd St (200-298),undefined,undefined,ON,5
202031,2nd St (301-399),undefined,undefined,ON,11
202032,2nd St (300-398),undefined,undefined,ON,8
202041,2nd St (401-499),undefined,undefined,ON,6
202042,2nd St (400-498),undefined,undefined,ON,5
202051,2nd St (501-599),undefined,undefined,ON,4
202052,2nd St (500-548),undefined,undefined,ON,6
202054,2nd St (550-598),undefined,undefined,ON,2
202061,2nd St (601-699),undefined,undefined,ON,4
202062,2nd St (600-698),undefined,undefined,ON,14
202071,2nd St (701-799),undefined,undefined,ON,5
202072,2nd St (700-798),undefined,undefined,ON,4
203031,3rd St (301-399),undefined,undefined,ON,10
203032,3rd St (300-398),undefined,undefined,ON,20
203041,3rd St (401-499),undefined,undefined,ON,4
203042,3rd St (434-466),undefined,undefined,ON,2
203043,3rd St (467-499),undefined,undefined,ON,4
203044,3rd St (468-498),undefined,undefined,ON,6
203051,3rd St (501-549),undefined,undefined,ON,3
203052,3rd St (500-598),undefined,undefined,ON,5
203053,3rd St (551-599),undefined,undefined,ON,3
203061,3rd St (601-699),undefined,undefined,ON,9
203062,3rd St (600-698),undefined,undefined,ON,12
203071,3rd St (701-799),undefined,undefined,ON,7
203072,3rd St (700-798),undefined,undefined,ON,8
204051,4th St (501-567),undefined,undefined,ON,10
204052,4th St (500-598),undefined,undefined,ON,14
204061,4th St (601-699),undefined,undefined,ON,5
204062,4th St (600-648),undefined,undefined,ON,1
205061,5th St (601-699),undefined,undefined,ON,9
205062,5th St (600-698),undefined,undefined,ON,16
216291,16th St (2901-2999),undefined,undefined,ON,16
216292,16th St (2900-2998),undefined,undefined,ON,10
216302,16th St (3000-3070),undefined,undefined,ON,9
216311,16th St (3101-3199),undefined,undefined,ON,4
216312,16th St (3100-3198),undefined,undefined,ON,6
