id,name,lat,lon,lat_0,lon_0,lat_1,lon_1,off_or_on_street,capacity
902,California and Steiner Lot,37.7889185029,-122.4348029307,NA,NA,NA,NA,OFF,11
930,16th and Hoff Garage,37.76425207,-122.4207729,NA,NA,NA,NA,OFF,70
931,Civic Center Garage,37.7802465669,-122.4177671135,NA,NA,NA,NA,OFF,843
932,Ellis OFarrell Garage,37.7863925455,-122.4071540583,NA,NA,NA,NA,OFF,950
933,Fifth and Mission Garage,37.7832776731,-122.405537559,NA,NA,NA,NA,OFF,2586
934,Golden Gateway Garage,37.79544154,-122.3986032,NA,NA,NA,NA,OFF,1142
935,Japan Center Garage,37.7849220106,-122.4301614271,NA,NA,NA,NA,OFF,745
936,Japan Center Annex Garage,37.7849547433,-122.4328661663,NA,NA,NA,NA,OFF,175
938,Lombard Street Garage,37.7996475876,-122.4348921128,NA,NA,NA,NA,OFF,205
939,Mission Bartlett Garage,37.7568400419,-122.4204335636,NA,NA,NA,NA,OFF,230
941,Moscone Center Garage,37.78452379,-122.3994795,NA,NA,NA,NA,OFF,752
943,Performing Arts Garage,37.77810302,-122.4225312,NA,NA,NA,NA,OFF,600
948,St. Marys Square Garage,37.79199927,-122.4045476,NA,NA,NA,NA,OFF,392
949,Sutter Stockton Garage,37.7897829226,-122.4068556189,NA,NA,NA,NA,OFF,1650
950,Union Square Garage,37.7876789151,-122.407447946,NA,NA,NA,NA,OFF,800
201001,1st St (1-99),NA,NA,37.7909273788,-122.3989076645,37.7899245625,-122.3976322671,ON,22
201002,1st St (2-98),NA,NA,37.7907925971,-122.3989941662,37.7899084691,-122.3978696439,ON,17
201021,1st St (201-299),NA,NA,37.7884691209,-122.3957865621,37.7874481996,-122.3945101589,ON,14
201022,1st St (200-298),NA,NA,37.7883494267,-122.3959414605,37.7873536512,-122.3946962382,ON,8
201031,1st St (301-399),NA,NA,37.7871927178,-122.3941913096,37.7862572923,-122.3930215248,ON,8
201032,1st St (300-360),NA,NA,37.7870850935,-122.3943602897,37.7864594649,-122.3935797626,ON,5
202001,2nd St (1-99),NA,NA,37.7891993563,-122.4011657614,37.7881764233,-122.3998792999,ON,null
202002,2nd St (36-98),NA,NA,37.7884731442,-122.4005079461,37.7880456649,-122.3999708308,ON,3
202021,2nd St (201-299),NA,NA,37.7865077449,-122.3977841481,37.7857332529,-122.3968165359,ON,6
202022,2nd St (200-298),NA,NA,37.78648763,-122.3980153549,37.7856316636,-122.3969462885,ON,5
202031,2nd St (301-399),NA,NA,37.7853228727,-122.396277409,37.7846640515,-122.3954486019,ON,11
202032,2nd St (300-398),NA,NA,37.7851136592,-122.396319654,37.7843482197,-122.395357071,ON,8
202041,2nd St (401-499),NA,NA,37.7840826795,-122.394721384,37.7832639308,-122.3936934218,ON,6
202042,2nd St (400-498),NA,NA,37.7838442969,-122.394727419,37.7831221082,-122.3938211627,ON,5
202051,2nd St (501-599),NA,NA,37.7830014082,-122.3933665258,37.7820348019,-122.3921595252,ON,4
202052,2nd St (500-548),NA,NA,37.7828957956,-122.3935385234,37.7825015088,-122.3930456649,ON,6
202054,2nd St (550-598),NA,NA,37.782312412,-122.3928102997,37.7818919734,-122.3922842486,ON,2
202061,2nd St (601-699),NA,NA,37.7815580366,-122.3915650774,37.7808026554,-122.3906205995,ON,4
202062,2nd St (600-698),NA,NA,37.7816747133,-122.3920136793,37.7808388654,-122.3909696238,ON,14
202071,2nd St (701-799),NA,NA,37.7805743311,-122.3903590827,37.7801227117,-122.3897646349,ON,5
202072,2nd St (700-798),NA,NA,37.7804264735,-122.3904335144,37.7801509775,-122.3900945651,ON,4
203031,3rd St (301-399),NA,NA,37.7837477369,-122.3987316435,37.7828193522,-122.3975719171,ON,10
203032,3rd St (300-398),NA,NA,37.7836310601,-122.3988905653,37.7826131563,-122.3976191913,ON,20
203041,3rd St (401-499),NA,NA,37.7825085496,-122.3971766244,37.7822389861,-122.3968376584,ON,4
203042,3rd St (434-466),NA,NA,37.7820086502,-122.3968547576,37.78175518,-122.3965359083,ON,2
203043,3rd St (467-499),NA,NA,37.7817501509,-122.3962251056,37.7814876282,-122.3958941863,ON,4
203044,3rd St (468-498),NA,NA,37.7814081674,-122.3961003822,37.7816445383,-122.3964061557,ON,6
203051,3rd St (501-549),NA,NA,37.781265339,-122.3956155703,37.7809243613,-122.3951890968,ON,3
203052,3rd St (500-598),NA,NA,37.7811707906,-122.3958026554,37.7801448401,-122.3945161939,ON,5
203053,3rd St (551-599),NA,NA,37.7806065178,-122.3947907866,37.780254476,-122.3943502313,ON,3
203061,3rd St (601-699),NA,NA,37.7800623617,-122.3941148662,37.7790665862,-122.3928686381,ON,9
203062,3rd St (600-698),NA,NA,37.7798913699,-122.3942074029,37.7789237578,-122.3929943673,ON,12
203071,3rd St (701-799),NA,NA,37.7788221686,-122.3925548179,37.7783967009,-122.3920287668,ON,7
203072,3rd St (700-798),NA,NA,37.7786974452,-122.392717763,37.7782196741,-122.3921132569,ON,8
204051,4th St (501-567),NA,NA,37.7794789781,-122.3978143231,37.7788664253,-122.397045866,ON,10
