time,I85E,I85W,H101N,H101S
1373875200000,95.8,143,152.8,230.4
1373875500000,107.6,124,159.4,236.8
1373875800000,108.8,134.8,149.6,222
1373876100000,98.2,138.2,143.8,226.4
1373876400000,82.2,128.4,141,212.2
1373876700000,73.8,112.6,136.2,195.2
1373877000000,53.2,104.8,130.2,193.2
1373877300000,66.2,103.2,131,187.8
1373877600000,61,101.4,117.6,172.2
1373877900000,56.8,94.2,124,170.2
1373878200000,53.2,89,104,157
1373878500000,51.4,85.2,114.4,172.8
1373878800000,47.8,72.2,112.6,156.4
1373879100000,43.6,75.2,105,139.4
1373879400000,45.6,78.2,103.2,145.8
1373879700000,48.2,63,115.6,144.6
1373880000000,37.4,61.2,89.4,131.4
1373880300000,29.2,51.2,89.2,149.8
1373880600000,33.4,48.8,85.4,132
1373880900000,31.2,47.8,86.2,135.6
1373881200000,28.8,51.2,95.4,152
1373881500000,23,50.4,82.2,133.4
1373881800000,23,44.2,75.2,132.8
1373882100000,25,41.8,82.4,126.6
1373882400000,30.2,41,71.4,116.6
1373882700000,31.4,54.2,73,119.6
1373883000000,43.8,46.8,75.6,136.6
1373883300000,34.2,52.2,78.2,128.8
1373883600000,39,46.8,66.4,129.8
1373883900000,33.2,50.6,68.8,119.4
1373884200000,32.4,55.8,70.2,111.8
1373884500000,31.6,53.6,61.8,104.4
1373884800000,24.6,56.2,64.8,98.4
1373885100000,27.2,60.4,68.4,105
1373885400000,25.6,60.4,61.4,94.4
1373885700000,27.8,61,63.6,82.6
1373886000000,34.2,59,65.2,82
1373886300000,35.6,55.2,62.8,94.8
1373886600000,36.8,71.4,73,90.8
1373886900000,35.2,66.4,74.8,86.2
1373887200000,29,68.8,77.2,87.6
1373887500000,33.6,70.8,73.2,90.4
1373887800000,29.2,69.8,83.4,88.6
1373888100000,36.4,80.6,85,92.4
1373888400000,31.6,99.8,84.8,108
1373888700000,28.4,108.8,90,105.6
1373889000000,37.4,128.6,87.2,122.6
1373889300000,24.8,106.2,83.8,134.2
1373889600000,27.8,99,79.4,129.2
1373889900000,30.6,100.2,80.6,121.4
1373890200000,34.2,116.6,93.8,146.8
